job_id,part_id,topcoat_code,booth_id,milp_seq_index,arc_setup_units,arc_purge_units,arc_cost_units,cum_cost_units,instance_tag
J000090,rear_bumper_a,C_POLAR_WHITE,1,1,0.0,0.0,0.0,0.0,pb1_full
J000071,front_bumper_f,C_POLAR_WHITE,1,2,0.0,0.0,0.0,0.0,pb1_full
J000072,front_bumper_f,C_POLAR_WHITE,1,3,0.0,0.0,0.0,0.0,pb1_full
J000169,threshold_d,C_POLAR_WHITE,1,4,0.0,0.0,0.0,0.0,pb1_full
J000017,front_bumper_a,C_POLAR_WHITE,1,5,0.0,0.0,0.0,0.0,pb1_full
J000021,front_bumper_a,C_POLAR_WHITE,1,6,0.0,0.0,0.0,0.0,pb1_full
J000178,radar_bracket_b,C_POLAR_WHITE,1,7,0.0,0.0,0.0,0.0,pb1_full
J000134,rim_decoration_a,C_POLAR_WHITE,1,8,0.0,0.0,0.0,0.0,pb1_full
J000151,threshold_a,C_POLAR_WHITE,1,9,0.0,0.0,0.0,0.0,pb1_full
J000067,front_bumper_f,C_POLAR_WHITE,1,10,0.0,0.0,0.0,0.0,pb1_full
J000020,front_bumper_a,C_POLAR_WHITE,1,11,0.0,0.0,0.0,0.0,pb1_full
J000135,rim_decoration_a,C_POLAR_WHITE,1,12,0.0,0.0,0.0,0.0,pb1_full
J000087,rear_bumper_a,C_POLAR_WHITE,1,13,0.0,0.0,0.0,0.0,pb1_full
J000150,threshold_a,C_POLAR_WHITE,1,14,0.0,0.0,0.0,0.0,pb1_full
J000066,front_bumper_f,C_POLAR_WHITE,1,15,0.0,0.0,0.0,0.0,pb1_full
J000025,front_bumper_a,C_POLAR_WHITE,1,16,0.0,0.0,0.0,0.0,pb1_full
J000086,rear_bumper_a,C_POLAR_WHITE,1,17,0.0,0.0,0.0,0.0,pb1_full
J000147,threshold_a,C_POLAR_WHITE,1,18,0.0,0.0,0.0,0.0,pb1_full
J000008,middle_spoiler_a,C_POLAR_WHITE,1,19,0.0,0.0,0.0,0.0,pb1_full
J000168,threshold_d,C_POLAR_WHITE,1,20,0.0,0.0,0.0,0.0,pb1_full
J000024,front_bumper_a,C_POLAR_WHITE,1,21,0.0,0.0,0.0,0.0,pb1_full
J000091,rear_bumper_a,C_POLAR_WHITE,1,22,0.0,0.0,0.0,0.0,pb1_full
J000124,rear_bumper_g,C_DIAMOND_WHITE,1,23,1.0,0.0,1.0,1.0,pb1_full
J000104,rear_bumper_c,C_DIAMOND_WHITE,1,24,0.0,0.0,0.0,1.0,pb1_full
J000163,threshold_b,C_DIAMOND_WHITE,1,25,0.0,0.0,0.0,1.0,pb1_full
J000162,threshold_b,C_DIAMOND_WHITE,1,26,0.0,0.0,0.0,1.0,pb1_full
J000062,front_bumper_e,C_DIAMOND_WHITE,1,27,0.0,0.0,0.0,1.0,pb1_full
J000121,rear_bumper_g,C_DIAMOND_WHITE,1,28,0.0,0.0,0.0,1.0,pb1_full
J000119,rear_bumper_f,C_DIAMOND_WHITE,1,29,0.0,0.0,0.0,1.0,pb1_full
J000116,rear_bumper_f,C_DIAMOND_WHITE,1,30,0.0,0.0,0.0,1.0,pb1_full
J000058,front_bumper_e,C_DIAMOND_WHITE,1,31,0.0,0.0,0.0,1.0,pb1_full
J000061,front_bumper_e,C_DIAMOND_WHITE,1,32,0.0,0.0,0.0,1.0,pb1_full
J000038,front_bumper_c,C_DIAMOND_WHITE,1,33,0.0,0.0,0.0,1.0,pb1_full
J000157,threshold_b,C_OBSIDIAN_BLACK,1,34,1.0,0.0,1.0,2.0,pb1_full
J000156,threshold_b,C_OBSIDIAN_BLACK,1,35,0.0,0.0,0.0,2.0,pb1_full
J000055,front_bumper_e,C_OBSIDIAN_BLACK,1,36,0.0,0.0,0.0,2.0,pb1_full
J000097,rear_bumper_c,C_OBSIDIAN_BLACK,1,37,0.0,0.0,0.0,2.0,pb1_full
J000046,front_bumper_d,C_OBSIDIAN_BLACK,1,38,0.0,0.0,0.0,2.0,pb1_full
J000180,radar_bracket_d,C_OBSIDIAN_BLACK,1,39,0.0,0.0,0.0,2.0,pb1_full
J000016,front_bumper_a,C_OBSIDIAN_BLACK,1,40,0.0,0.0,0.0,2.0,pb1_full
J000049,front_bumper_d,C_OBSIDIAN_BLACK,1,41,0.0,0.0,0.0,2.0,pb1_full
J000043,front_bumper_d,C_OBSIDIAN_BLACK,1,42,0.0,0.0,0.0,2.0,pb1_full
