solution_id,global_position,booth_label,booth_id,job_index,job_id,feeder_index,part_id,topcoat
0,0,PB2,2,78,J000105,79,rear_bumper_d,C_OBSIDIAN_BLACK
0,1,PB1,1,31,J000016,32,front_bumper_a,C_OBSIDIAN_BLACK
0,2,PB2,2,87,J000160,88,threshold_b,C_OBSIDIAN_BLACK
0,3,PB1,1,64,J000017,65,front_bumper_a,C_POLAR_WHITE
0,4,PB2,2,102,J000089,103,rear_bumper_a,C_POLAR_WHITE
0,5,PB1,1,144,J000058,145,front_bumper_e,C_DIAMOND_WHITE
0,6,PB2,2,95,J000071,96,front_bumper_f,C_POLAR_WHITE
0,7,PB1,1,89,J000164,90,threshold_c,C_OBSIDIAN_BLACK
0,8,PB2,2,147,J000061,148,front_bumper_e,C_DIAMOND_WHITE
0,9,PB1,1,55,J000097,56,rear_bumper_c,C_OBSIDIAN_BLACK
0,10,PB2,2,174,J000137,175,rim_decoration_b,C_DIAMOND_WHITE
0,11,PB1,1,59,J000101,60,rear_bumper_c,C_OBSIDIAN_BLACK
0,12,PB2,2,49,J000053,50,front_bumper_e,C_OBSIDIAN_BLACK
0,13,PB1,1,71,J000024,72,front_bumper_a,C_POLAR_WHITE
0,14,PB2,2,21,J000079,22,rear_bumper_a,C_SHINING_BLUE
0,15,PB1,1,63,J000008,64,middle_spoiler_a,C_POLAR_WHITE
0,16,PB2,2,114,J000115,115,rear_bumper_f,C_MILAN_SILVER
0,17,PB1,1,120,J000147,121,threshold_a,C_POLAR_WHITE
0,18,PB2,2,47,J000048,48,front_bumper_d,C_OBSIDIAN_BLACK
0,19,PB1,1,57,J000099,58,rear_bumper_c,C_OBSIDIAN_BLACK
0,20,PB2,2,167,J000141,168,threshold_a,C_RUBY_RED
0,21,PB1,1,26,J000132,27,rim_decoration_a,C_SHINING_BLUE
0,22,PB2,2,20,J000064,21,front_bumper_f,C_SHINING_BLUE
0,23,PB1,1,5,J000030,6,front_bumper_b,C_IRIDIUM_SILVER
0,24,PB2,2,113,J000093,114,rear_bumper_b,C_MILAN_SILVER
0,25,PB1,1,77,J000068,78,front_bumper_f,C_POLAR_WHITE
0,26,PB2,2,100,J000087,101,rear_bumper_a,C_POLAR_WHITE
0,27,PB1,1,66,J000019,67,front_bumper_a,C_POLAR_WHITE
0,28,PB2,2,150,J000078,151,front_bumper_g,C_DIAMOND_WHITE
0,29,PB1,1,25,J000126,26,shell_a,C_SHINING_BLUE
0,30,PB2,2,91,J000166,92,threshold_c,C_OBSIDIAN_BLACK
0,31,PB1,1,67,J000020,68,front_bumper_a,C_POLAR_WHITE
0,32,PB2,2,0,J000001,1,upper_grille_a,C_IRIDIUM_SILVER
0,33,PB1,1,171,J000176,172,radar_bracket_a,C_RUBY_RED
0,34,PB2,2,30,J000015,31,front_bumper_a,C_OBSIDIAN_BLACK
0,35,PB1,1,165,J000111,166,rear_bumper_f,C_RUBY_RED
0,36,PB2,2,88,J000161,89,threshold_b,C_OBSIDIAN_BLACK
0,37,PB1,1,158,J000123,159,rear_bumper_g,C_DIAMOND_WHITE
0,38,PB2,2,14,J000011,15,front_bumper_a,C_SHINING_BLUE
0,39,PB1,1,142,J000155,143,threshold_b,C_SAPPHIRE_BLUE
0,40,PB2,2,19,J000063,20,front_bumper_f,C_SHINING_BLUE
0,41,PB1,1,41,J000044,42,front_bumper_d,C_OBSIDIAN_BLACK
0,42,PB2,2,117,J000153,118,threshold_a,C_MILAN_SILVER
0,43,PB1,1,79,J000112,80,rear_bumper_f,C_OBSIDIAN_BLACK
0,44,PB2,2,48,J000049,49,front_bumper_d,C_OBSIDIAN_BLACK
0,45,PB1,1,130,J000171,131,threshold_d,C_POLAR_WHITE
0,46,PB2,2,1,J000002,2,upper_grille_a,C_IRIDIUM_SILVER
0,47,PB1,1,27,J000138,28,threshold_a,C_SHINING_BLUE
0,48,PB2,2,163,J000084,164,rear_bumper_a,C_RUBY_RED
0,49,PB1,1,173,J000125,174,rear_bumper_g,C_DIAMOND_WHITE
0,50,PB2,2,103,J000090,104,rear_bumper_a,C_POLAR_WHITE
0,51,PB1,1,70,J000023,71,front_bumper_a,C_POLAR_WHITE
0,52,PB2,2,151,J000104,152,rear_bumper_c,C_DIAMOND_WHITE
0,53,PB1,1,4,J000027,5,front_bumper_a,C_IRIDIUM_SILVER
0,54,PB2,2,86,J000159,87,threshold_b,C_OBSIDIAN_BLACK
0,55,PB2,2,13,J000010,14,front_bumper_a,C_SHINING_BLUE
0,56,PB1,1,182,J000182,183,radar_bracket_e,C_DENIM_BLUE
0,57,PB1,1,61,J000103,62,rear_bumper_c,C_OBSIDIAN_BLACK
0,58,PB2,2,116,J000131,117,shell_a,C_MILAN_SILVER
0,59,PB1,1,73,J000029,74,front_bumper_b,C_POLAR_WHITE
0,60,PB2,2,15,J000012,16,front_bumper_a,C_SHINING_BLUE
0,61,PB1,1,72,J000025,73,front_bumper_a,C_POLAR_WHITE
0,62,PB2,2,6,J000092,7,rear_bumper_a,C_IRIDIUM_SILVER
0,63,PB1,1,135,J000039,136,front_bumper_d,C_SAPPHIRE_BLUE
0,64,PB2,2,45,J000140,46,threshold_a,C_SHINING_BLUE
